Central,Llave,Coordinado,Grupo reporte,Tipo,Subtipo,Fecha,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23,Hora 24,Hora 25,Total
PFV SANTA ISABEL,PFV SANTA ISABEL,TSGF SPA,PFV Santa Isabel,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PFV SANTIAGO SOLAR,Santiago Solar,SANTIAGO SOLAR S.A.,PFV Santiago,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,3.81,27.25,52.1,66.84,74.52,76.91,76.83,69.13,51.02,27.94,6.24,0.08,0,0,0,0,0,,532.67
PFV SDGX01,SDGx01 (Andacollo),ENGIE ENERGÍA CHILE S.A.,PMG PFV SDGx01,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PFV SOL DE LILA,PFV Sol de Lila,ENEL GREEN POWER CHILE S.A.,PFV Sol de Lila,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.07,18.05,69.1,122.8,128.63,126.75,126.18,124.66,124.18,124.18,118.97,57.11,0.5,0,0,0,0,0,,1141.18
PFV SOL DE LOS ANDES,PFV SOL DE LOS ANDES,OPDENERGY GENERACIÓN SPA,PFV Sol de los Andes,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,10.36,55.84,76.1,71.2,71.22,65.03,61.2,59.98,61.09,58.06,22.29,0.31,0,0,0,0,0,,612.68
PFV SOL DEL DESIERTO,Sol del Desierto,PARQUE SOLAR FOTOVOLTAICO SOL DEL DESIERTO SPA,PFV Sol del Desierto,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.12,51.9,178.06,202.12,206.59,206.98,201.93,195.83,196.11,188.53,175.89,75.43,1.52,0,0,0,0,0,,1881.01
PFV SOL DEL NORTE,PFV Sol del Norte (Andes),FOTOVOLTAICA SOL DEL NORTE SPA,PMG PFV Sol del Norte,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,1.86,5.85,6.62,6.33,6.14,6.1,6.19,6.24,6.24,4.77,1.62,0.01,0,0,0,0,0,,57.97
PFV TAMAYA SOLAR,TAMAYA SOLAR,ENGIE ENERGÍA CHILE S.A.,PFV Tamaya Solar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,22.6,80.8,93.9,96,94.4,93,89.9,89.8,89.8,84.4,34.2,0.9,0,0,0,0,0,,869.7
PFV TENO SOLAR,Teno Solar,ENLASA GENERACIÓN CHILE S.A.,PMG PFV Teno Solar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.25,2.32,5.01,5.88,5.78,5.82,5.86,5.87,5.4,3.39,0.82,0.01,0,0,0,0,0,,46.41
PFV URIBE SOLAR,PFV URIBE SOLAR,FOTOVOLTAICA NORTE GRANDE 5 SPA,PFV Uribe Solar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,7.09,33.83,37.84,37.34,37.16,36.7,36.56,36.11,32.82,32.86,18.31,0.31,0,0,0,0,0,,346.93
PFV USYA,PFV Usya,ACCIONA ENERGÍA CHILE HOLDINGS S.A.,PFV Usya,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.01,5.23,20.91,34.3,43.13,48.9,52.52,51.19,46.08,36.78,24.19,9.03,0.29,0,0,0,0,0,,372.56
PFV VALLE DEL SOL [EN_REVISION],PFV VALLE DEL SOL,ENEL GREEN POWER CHILE S.A.,PFV Valle del Sol,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,32.91,112.82,11.2,83.5,124.7,10,10.01,10,10,12.15,40.54,1.06,0,0,0,0,0,,458.89
PFV VALLE ESCONDIDO,Valle Escondido,HUEMUL ENERGÍA SPA,PFV Valle Escondido,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,10.34,57.04,86.87,69.49,61.55,78.96,83.5,83.39,80.25,53.64,21.41,0.24,0,0,0,0,0,,686.68
PMG PFV SOLAR PALERMO [EN_REVISION],PMG SOLAR PALERMO,GPG GENERACIÓN DISTRIBUIDA SPA,PMG PFV Palermo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD  PFV PLAYERO,PFV PLAYERO,PLAYERO SPA,PMGD PFV Playero,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0418684534,0.7444228058,1.755140045,2.149159485,2.066253052,1.656054703,0.6746939851,0.2967436905,0.2714195825,0.207332634,0.0738209081,0.0006137583,0,0,0,0,0,,9.937523102
PMGD LORETO SOLAR,Loreto,FOTOVOLTAICA ACACIA SPA,PMGD PFV Loreto,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0888342963,0.95910878,1.668024475,1.673524292,1.580562408,1.528739533,1.594152252,1.681461243,1.541133606,0.9276241989,0.0770295515,0.0006871235,0,0,0,0,0,,13.32088176
PMGD PFV  ARGOMEDO,Argomedo,GR GUINDO SPA,PMGD PFV Argomedo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1802070426,1.685177261,3.078933044,3.180340393,3.010592224,2.899544922,2.950725464,3.127726074,2.885755493,1.831255188,0.433411747,0.0000413646,0,0,0,0,0,,25.26371022
PMGD PFV  COCINILLAS,PFV COCINILLAS,AGROSOLAR IV SPA,PMGD PFV Cocinillas,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0837633157,0.939751358,1.864836426,1.936431488,1.971550873,1.962875031,1.94618277,1.88600882,1.642477417,1.321114044,0.2635220014,0.0040957918,0,0,0,0,0,,15.82260933
