Central,Llave,Coordinado,Grupo reporte,Tipo,Subtipo,Fecha,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23,Hora 24,Hora 25,Total
PMGD PFV ESCORIAL DEL VERANO SOLAR,PMGD PFV Escorial del Verano,CORCOVADO DE VERANO SPA,PMGD PFV Escorial del Verano,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0957799969,1.043888,1.763815094,1.796444794,1.757362488,1.714167908,1.72249527,1.78868515,1.751731079,1.170520966,0.3126505259,0.0022146869,0,0,0,0,0,,14.91975596
PMGD PFV ESFENA,PFV PMGD Esfena,CVE PROYECTO NUEVE SPA,PMGD PFV Esfena,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1312407689,1.086613892,0.7056884384,1.160020783,1.160204926,1.160569977,1.160536652,1.159649872,1.159590485,1.157474579,0.435160141,0.0057409978,0,0,0,0,0,,10.48249151
PMGD PFV FARAMALLA,PMGD PFV FARAMALLA,PARQUE FOTOVOLTAICO FARAMALLA SPA,PMGD PFV Faramalla,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0611061001,0.8234257813,1.678927155,1.887023743,1.859629639,1.83838382,1.870923065,1.926732483,1.784025574,1.034657013,0.2807895832,0.0032158842,0,0,0,0,0,,15.04883984
PMGD PFV FARDELA NEGRA,PMGD PFV FARDELA NEGRA,ROCKVILLE ENERGY HOLDING SPA [En_Revision],PMGD PFV Fardela Negra,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0129352593,0.1082161388,0.1866167908,0.3540362777,0.7621663056,1.198677506,1.352261566,0.732947647,1.105355103,0.5584773788,0.3572299747,0.0069252429,0,0,0,0,0,,6.73584519
PMGD PFV FILOMENA SOLAR,Filomena,CEDARS SOLAR SPA,PMGD PFV Filomena,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0278454152,0.7527589492,1.689970673,1.767648224,1.677206665,1.63780838,1.672989807,1.752673431,1.653384888,0.8214345092,0.2075584559,0.0002070189,0,0,0,0,0,,13.66148642
PMGD PFV FLORENCIA SOLAR,PMGD PFV Florencia Solar,FONTUS PRIME SOLAR SPA,PMGD PFV Florencia Solar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2529325514,2.249029465,6.442222778,8.531737305,8.625098389,7.365857056,7.974062256,8.811208984,7.280678589,2.106669723,0.6000954552,0.0102356363,0,0,0,0,0,,60.24982819
PMGD PFV FOTOVOLT SOLAR [NO_MOSTRAR],FOTOVOLT SOLAR I,FOTOVOLT ENERGÍA LTDA,PMGD PFV Fotovolt,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV FRANCISCO,PMGD PFV Francisco,IEH SOLAR CHILE SPA,PMGD PFV Francisco,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0241398216,1.16791441,2.173781372,2.142892456,2.075355774,2.004517578,2.004571961,2.109859497,2.103909546,1.578830444,0.3905320978,0.0012015135,0,0,0,0,0,,17.77750647
PMGD PFV FULGOR [En_Revision],PMGD PFV Fulgor,PARQUE FULGOR SPA [En_Revision],PMGD PFV Fulgor,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0184473793,0.1266758061,0.3636366654,0.6979387818,0.7544936676,0.7535513458,0.7545458374,0.7548497925,0.7548453063,0.7530821075,0.3672982024,0.0049617462,0,0,0,0,0,,6.104326638
PMGD PFV GABARDO DEL VERANO SOLAR,PMGD PFV GABARDO,SALADO ENERGY SPA,PMGD PFV Gabardo del Verano,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0658153488,1.175238876,1.93356897,1.96075766,1.900595795,1.847226502,1.836153931,1.893422699,1.803861755,0.7417893982,0.1253722572,0.0015081407,0,0,0,0,0,,15.28531133
PMGD PFV GABRIELA,PMGD PFV Gabriela,FONTUS PRIME SOLAR SPA,PMGD PFV Gabriela,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.0001157776,0.1331601987,2.451913467,7.765360107,6.93884082,6.645713135,6.587127197,3.809293518,3.996787231,2.35369043,1.191752594,0.7232164344,0.0183628106,0,0,0,0,0,,42.61533372
PMGD PFV GIRASOLES,Girasoles,SOLAR E SPA,PMGD PFV Girasoles,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0677216182,0.8911031648,1.67394455,1.729910828,1.657507751,1.606078094,1.639497833,1.67193216,1.557071167,1.253463547,0.1906875619,0.0036736441,0,0,0,0,0,,13.94259192
PMGD PFV GR ALCON SOLAR,PMGD PFV Alcon Solar,GR LLEUQUE SPA,PMGD PFV Alcon Solar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.8476622301,5.165027893,7.404733887,7.651104859,7.566766968,7.374410522,7.500998413,6.251439209,4.228200623,3.065875885,0.5991973076,0.0092856197,0,0,0,0,0,,57.66470342
PMGD PFV GR LEMU,LEMU,CARBON FREE CHILE SPA,PMGD PFV GR Lemu,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1426241393,1.311588486,3.142548584,3.205209106,3.226785156,3.316364807,3.447270752,3.542107849,2.828013611,1.613836319,0.3243962517,0.0047705302,0,0,0,0,0,,26.10551559
PMGD PFV GR PEUMO,PMGD PFV GR PEUMO,GR CIPRES SPA,PMGD PFV GR Peumo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.4794705669,4.249801819,6.175185913,6.405405518,6.225109863,6.034731201,6.114522095,6.297966675,6.345896118,4.834322449,1.318067928,0.0064433103,0,0,0,0,0,,54.48692346
PMGD PFV GR PITAO,GR Pitao,GR PITAO SPA,PMGD PFV GR Pitao,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.42048339,4.512502075,6.90340271,7.063738648,6.88518457,6.725328247,6.875907349,7.097853271,6.980950562,5.571099976,1.373788315,0.0162287464,0,0,0,0,0,,60.42646786
PMGD PFV GR RAULI,RAULI,CARBON FREE CHILE SPA,PMGD PFV GR Rauli,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2776549081,2.8092341,4.977733398,5.099689209,4.88929187,4.766587525,4.919379883,4.860453613,4.444510742,3.26480365,0.7585995217,0.0081584463,0,0,0,0,0,,41.07609687
PMGD PFV GR SANTA ROSA,GR Santa Rosa,GR CHAQUIHUE SPA,PMGD PFV GR Santa Rosa,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.322714736,3.364728302,5.807788696,5.977633545,5.896292725,5.81864856,5.810652954,6.015661743,5.709828491,4.042452881,1.272931446,0.0114994392,0,0,0,0,0,,50.05083352
PMGD PFV GRANADA,Granada,GRANADA SPA,PMGD PFV Granada,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2234089279,2.573133759,5.175605713,5.535060791,5.481758179,5.361016602,5.549468262,5.494760376,4.499968384,2.405452057,0.5469831314,0.0023129053,0,0,0,0,0,,42.84892909
PMGD PFV GRANATE,PMGD PFV Granate,FONTUS PRIME SOLAR SPA,PMGD PFV Granate,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.0000107658,0.390345725,1.625877381,2.228191559,3.616191803,6.406075806,4.521686768,7.094135132,4.150839173,2.658776062,2.152454102,0.487545906,0.0104877816,0,0,0,0,0,,35.34261796
PMGD PFV GUADALAO,Guadalao,FOTOVOLTAICA MAÑIO SPA,PMGD PFV Guadalao,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0668386498,0.4643472328,2.010331467,1.954510681,1.178926926,1.77367041,2.387678528,2.043822571,1.472053894,1.959612,0.4118942814,0.0029127512,0,0,0,0,0,,15.72659939
PMGD PFV GUADALUPE,PMGD PFV Guadalupe,GUADALUPE SOLAR SPA,PMGD PFV Guadalupe,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.175957632,2.117783234,3.994707092,4.266781372,4.234461304,4.139648316,4.162519775,4.083977539,3.340935425,1.830332336,0.5964108009,0.0080729456,0,0,0,0,0,,32.95158777
PMGD PFV GUARANA [En_Revision],PMGD PFV GUARANA,SOLAR TI DIECISEIS SPA [En_Revision],PMGD PFV Guarana,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0316095903,0.2300313874,0.3629313354,0.3884220428,0.4230659408,0.6604341049,0.7894912415,0.3530856933,0.3876001664,0.2405766716,0.0799719039,0.0007098652,0,0,0,0,0,,3.947929944
PMGD PFV HELIOS,PMGD PFV Helios,PARSOSY HELIOS SPA,PMGD PFV Helios,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1353696625,1.037216537,1.544607605,1.565811127,1.56714505,1.622748383,1.70039505,1.799940796,1.713706635,1.252474243,0.438600214,0.0037525353,0,0,0,0,0,,14.38176784
PMGD PFV HOMERO SOLAR,Homero,IEH SOLAR CHILE SPA,PMGD PFV Homero,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0.3883137379,2.133609131,2.153702698,2.052584106,1.982280151,2.000625458,2.09541803,2.144667114,1.521926407,0.3612786283,0.0011390712,0,0,0,0,0,,16.83554453
PMGD PFV HORMIGA SOLAR,Hormiga Solar,HORMIGA SOLAR SPA,PMGD PFV Hormiga,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0239474315,0.6011376724,0.9609562988,1.156563141,1.263702271,1.287096314,1.27060025,1.178911774,0.9513257141,0.5601167983,0.1628833113,0.0004270433,0,0,0,0,0,,9.417668019
PMGD PFV HORNITOS,Solar Hornitos,EMOAC SPA,PMGD PFV Hornitos,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV HUAPE,Huape,FARMDO ENERGY CHILE SPA,PMGD PFV Huape,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0294258072,0.2426191139,0.9133309708,1.578112763,1.505835785,1.434514069,1.425766998,1.481171875,1.292795227,0,0.0360605083,0,0,0,0,0,0,,9.939633117
PMGD PFV HUAQUELON [En_Revision],PMGD PFV Huaquelon,FONTUS PRIME SOLAR SPA,PMGD PFV Huaquelon,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1745406759,3.197950134,7.19285791,6.204932861,5.328259522,5.058807678,6.116024902,4.680988831,3.666186096,2.74747287,0.5571535873,0.0155250261,0,0,0,0,0,,44.94070009
PMGD PFV ICB,PMGD PFV ICB,FARO CORONA SPA,PMGD PFV ICB,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV IDAHUE DEL VERANO SOLAR,PMGD PFV Idahue del Verano,PALPANA DE VERANO SPA,PMGD PFV Idahue del Verano,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0852283007,0.8256899185,1.35695163,1.618487091,1.684056122,1.67576236,1.734691864,1.748960938,1.437394959,0.9878930969,0.2617254733,0.0017636076,0,0,0,0,0,,13.41860536
PMGD PFV ILLAPEL 5X,PMGD PFV ILLAPEL 5X,PARSOSY ILLAPEL 5 SPA,PMGD PFV Illapel 5X,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0592737276,1.368845459,2.29037323,2.28366333,2.25600415,2.226733521,2.225475525,2.14653421,1.958652618,1.432056656,0.2678742848,0.004378788,0,0,0,0,0,,18.5198655
PMGD PFV JAHUEL,JAHUEL,CHESTER SOLAR I SPA,PMGD PFV Jahuel,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0541777423,1.483350079,3.862478699,3.950254517,3.769617066,3.67724292,3.707150024,3.850762024,3.925409912,2.647954102,0.4663435421,0.007041379,0,0,0,0,0,,31.401782
PMGD PFV JAURURO SOLAR,PMGD PFV JAURURO SOLAR,FOTOVOLTAICA JAURURO SPA,PMGD PFV Jaururo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0351669101,0.1623106938,0.617010353,1.261533325,1.447363678,1.556742615,1.517233887,1.35246405,0.8583808516,0.3302737503,0.0914650826,0.0003329192,0,0,0,0,0,,9.230278115
PMGD PFV JAVIERA CARRERA,PMGD PFV Javiera Carrera,GR TORRES DEL PAINE,PMGD PFV Javiera Carrera,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.4134120487,4.366227722,6.727381226,6.991825684,6.833824829,6.801436646,6.994953003,7.237513428,7.328908936,5.534588135,1.736125259,0.0075756173,0,0,0,0,0,,60.97377253
PMGD PFV JOSE SOLER MALLAFRE,José Soler Mallafré,FV SANTA LAURA SPA,PMGD PFV José Soler Mallafré,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0233447722,0.4733879051,0.9655973358,0.9823791962,0.9476204834,0.9304328155,0.936824997,0.9694564362,0.9150823212,0.717188446,0.1638951592,0.0011632081,0,0,0,0,0,,8.026373076
PMGD PFV KAUFMANN,PMGD PFV Kaufmann,AES ANDES S.A.,PMGD PFV Kaufmann,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV KONDA,Konda,KONDA SOLAR SPA,PMGD PFV Konda,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0904322474,0.9620291747,1.565195038,1.532002319,1.47655545,1.448020386,1.464377869,1.534082459,1.524712952,1.027197525,0.278722662,0.0025741038,0,0,0,0,0,,12.90590218
PMGD PFV LA ACACIA,LA ACACIA,LA ACACIA SPA,PMGD PFV La Acacia,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2168455345,2.158341644,4.6476026,5.683143921,5.584766724,4.747713745,5.709291138,5.914650269,5.588439941,3.10014917,0.7745782642,0.001076679,0,0,0,0,0,,44.12659963
PMGD PFV LA BLANQUINA,LA BLANQUINA,SOLAR LA BLANQUINA SPA,PMGD PFV La Blanquina,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,2.627241242,5.863383057,6.193866455,5.921636963,5.760724365,5.722310059,5.875062744,5.904016968,3.472102844,0.8750143624,0.00529251,0,0,0,0,0,,48.22065157
PMGD PFV LA CHAPEANA,La Chapeana,LA CHAPEANA SPA,PMGD PFV La Chapeana,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.0304027166,0.5368519134,0.9729270019,0.7848568268,0.9582323913,0.7764673004,1.001111084,0.7770434875,0.4867441102,0.2811938744,0.0746098441,0.0011460323,0,0,0,0,0,0,,6.681586583
PMGD PFV LA CHIMBA BIS,LA CHIMBA BIS,LA CHIMBA BIS SPA,PMGD PFV La Chimba Bis,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.046897179,0.1799703941,0.3469804344,0.6959548263,1.171304978,0.9064734803,1.561674927,0.9180699615,0.5840510255,0.4713668785,0.0919929257,0.0005692566,0,0,0,0,0,,6.975306266
PMGD PFV LA COLONIA [En_Revision],PMGD PFV Parque La Colonia,FOTOVOLTAICA BOLDO SPA [En_Revision],PMGD PFV Parque La Colonia,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.5001709958,4.290977539,6.466808838,6.571607666,6.398610596,6.263024658,6.323328735,6.599982178,6.707591431,4.586587769,1.368895203,0.0105891198,0,0,0,0,0,,56.08817473
PMGD PFV LA ESPERANZA II,LA ESPERANZA II,GR ARAUCARIA SPA,PMGD PFV La Esperanza II,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.4797249508,1.50836351,4.334762451,6.409085693,4.845317139,6.025371704,6.112916382,6.462437012,6.042442261,4.836445984,0.2711476746,0,0,0,0,0,0,,47.32801476
PMGD PFV LA ESTANCIA,La Estancia,CARBON FREE CHILE SPA,PMGD PFV La Estancia,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV LA FORESTA,PMGD PFV La Foresta,SOCIEDAD ENERGÍAS RENOVABLES LOS LIRIOS SPA,PMGD PFV La Foresta,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0724436221,0.8942064744,1.785418427,0.6615311126,0.5103490066,0.5762548218,1.683708435,0.9232130127,0.9040409394,1.041792267,0.1756714277,0.0040963278,0,0,0,0,0,,9.232725874
PMGD PFV LA FRONTERA,La Frontera,PV LA FRONTERA SPA,PMGD PFV La Frontera,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0336054,0.348037796,1.056678818,2.569273895,2.213150116,2.821879334,4.284232788,3.52023175,2.656609009,1.807336182,0.2907740822,0.0079879179,0,0,0,0,0,,21.60979709
PMGD PFV LA LAJUELA,La Lajuela,RIGEL SPA,PMGD PFV La Lajuela,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2839988812,3.052800934,5.507216065,5.657305054,5.32229187,4.833661987,4.361018433,3.973262146,3.667898499,3.212963013,0.796378025,0.0079872947,0,0,0,0,0,,40.6767822
PMGD PFV LA LIGUA,La Ligua,ILLALOLEN S.A.,PMGD PFV La Ligua,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0275982038,0.2585334281,1.174681961,2.215325043,2.572280457,2.725534607,2.64788208,2.293695068,1.838978577,1.123010468,0.1499863854,0.000565114,0,0,0,0,0,,17.02807139
PMGD PFV LA MANGA,La Manga,LA MANGA ENERGY SPA,PMGD PFV La Manga,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0.1345758605,0.293207077,0.0977902832,0.380660019,0.6625744018,0.7393143768,0.4580505371,0.5404110565,0.2502983932,0.0637902016,0.0001801327,0,0,0,0,0,,3.620852339
PMGD PFV LA PALMA SOLAR,PMGD PFV La Palma Solar,TOESCA RENOVABLES SPA,PMGD PFV La Palma Solar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.152638592,2.626247635,6.391612305,6.556011108,6.285791626,6.094769287,6.110764038,6.400896362,6.631501587,5.86739801,1.603172081,0.0337767306,0,0,0,0,0,,54.75457936
PMGD PFV LAGUNILLA,Solar Lagunilla,GR PACIFIC PAN DE AZÚCAR SPA,PMGD PFV Lagunilla,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0496612836,0.3747511024,0.8261645813,0.9731779786,1.144523834,0.8728070679,1.193128815,0.9098276978,0.5540503006,0.3152325668,0.0807489666,0.0001266313,0,0,0,0,0,,7.294200826
PMGD PFV LAS CABRAS,Las Cabras,RCL SOLAR SPA,PMGD PFV Las Cabras,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0869488839,0.305981701,1.745406525,2.018258484,2.010893524,1.989113739,1.981995422,2.035297669,1.981338745,1.351253967,0.3899978619,0.0057450117,0,0,0,0,0,,15.90223153
PMGD PFV LAS CACHAÑAS,PMGD PFV Las Cachañas,PFV LAS CACHAÑAS SPA,PMGD PFV Las Cachañas,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2177934813,2.119677094,4.565122681,6.178104492,7.135949219,7.487631226,7.27007019,6.407778442,4.924830811,2.656591583,0.6831813736,0.0061892653,0,0,0,0,0,,49.65291986
PMGD PFV LAS CATITAS,PMGD PFV Las Catitas,PFV LAS CATITAS SPA,PMGD PFV Las Catitas,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2820038035,2.275951721,4.507728027,6.179887817,7.246687012,7.651069214,7.626789673,6.542835083,4.590209839,2.286041016,0.6020004998,0.0120626647,0,0,0,0,0,,49.80326637
PMGD PFV LAS CHACRAS,Las Chacras,LAS CHACRAS ENERGY SPA,PMGD PFV Las Chacras,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0432952082,0.1963627796,1.034408928,1.885315979,1.112622147,1.332717438,1.810429199,1.903750977,1.786178406,1.437405029,0.2661798653,0.0007275429,0,0,0,0,0,,12.8093935
PMGD PFV LAS CODORNICES,Las Codornices,PFV LAS CODORNICES SPA,PMGD PFV Las Codornices,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0641853551,1.109221047,2.136737396,2.218416016,2.103122864,1.999198914,2.022745239,2.130819092,2.266039856,1.356350922,0.3199581813,0.0067020099,0,0,0,0,0,,17.73349689
PMGD PFV LAS GOLONDRINAS [En_Revision],PMGD PFV Golondrinas,PFV LAS GOLONDRINAS SPA [En_Revision],-,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0893163131,0.9228441772,1.783247742,1.994667755,1.995746399,1.995633789,1.995656769,1.986127716,1.935475616,1.252315308,0.3490694922,0.0039535844,0,0,0,0,0,,16.30405466
PMGD PFV LAS LECHUZAS,Las Lechuzas,PFV LAS LECHUZAS SPA,PMGD PFV Las Lechuzas,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0401131105,0.8689312363,1.980586975,2.115193909,2.037864136,1.95555304,1.964340393,2.040124298,2.143816467,1.618316467,0.3569545841,0.006105855,0,0,0,0,0,,17.12790047
PMGD PFV LAS MAJADAS,PFV Las Majadas,DON PEDRO SPA,PMGD PFV Las Majadas,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.109167098,2.418139389,6.113000855,3.848988831,5.092372253,4.348047363,4.833900818,3.955601746,2.177475922,1.616580811,0.3244114018,0.0030745451,0,0,0,0,0,,34.84076103
PMGD PFV LAS MERCEDES,Las Mercedes 1,FOTOVOLTAICA ALGARROBO SPA,PMGD PFV Las Mercedes,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0547387692,0.7090683593,1.235122894,1.237907196,1.181455139,1.148823425,1.16569931,1.223342896,1.161388428,0.7759910354,0.1912841591,0.0005559182,0,0,0,0,0,,10.08537753
PMGD PFV LAS PALMAS DEL VERANO SOLAR,PMGD PFV Palmas Verano Solar,CAPURATA DEL VERANO SPA,PMGD PFV Las Palmas Verano,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0231439378,0.1554167347,0.3505067672,0.3855755768,0.7382554322,1.15787265,2.023630219,1.890611481,0.4682689362,0.3136251335,0.1074348846,0.0006373469,0,0,0,0,0,,7.614979099
PMGD PFV LAS PALOMAS,Las Palomas,PV LAS PALOMAS SPA,PMGD PFV Las Palomas,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0306928989,0.2217847901,0.4320514298,1.747308579,2.10586615,1.999749847,1.899812988,1.955350433,1.938742951,1.739022613,0.5133056945,0.0055890792,0,0,0,0,0,,14.58927745
PMGD PFV LAS PERDICES,Las Perdices,PFV LAS PERDICES SPA,PMGD PFV Las Perdices,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0652294117,0.957770401,1.712425079,1.724690704,1.647433441,1.604058991,1.685752777,1.670246063,1.512227844,1.105384247,0.3040749692,0.003223238,0,0,0,0,0,,13.99251717
PMGD PFV LAS ROJAS,Las Rojas,SONNEDIX LA SERENA SPA,PMGD PFV Las Rojas,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0179548206,0.2445524177,0.5521467514,0.8705795288,1.395832459,1.107498672,0.7565489348,0.3426934471,0.0331685348,0.0401675065,0.0074599324,0.0000743796,0,0,0,0.0001081075,0,,5.368785492
PMGD PFV LAS TENCAS,PMGD PFV Las Tencas,PFV LAS TENCAS SPA,PMGD PFV Las Tencas,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2503857192,2.218635559,4.31209668,6.015061035,7.108787598,7.580512817,7.454662476,6.576749634,5.063428955,2.793143677,0.8021847535,0.0074494205,0,0,0,0,0,,50.18309832
PMGD PFV LAS TERRAZAS,SOLAR_LAS_TERRAZAS,ENERGÍA ATACAMA S.A.,PMGD PFV Las Terrazas,Solar,Solar,2023-04-20,0.3123312683,0.4172578277,0.4111396484,0.4100861435,0.4114100647,0.4313928375,0.5053076248,0.4079418335,0.3731334724,0.1740632816,0.0910867043,0.1605633774,0.0250820357,0.0464061994,0.2626904297,0.426054367,0.3725355844,0.0064425015,0.0807629204,0.081267788,0.0800730533,0.0800582408,0.0766287766,0.078359602,,5.722075583
PMGD PFV LAS TORCAZAS,Las Torcazas,PFV LAS TORCAZAS SPA,PMGD PFV Las Torcazas,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1043911118,0.8294243621,1.968654999,1.995903229,1.92073465,1.837435669,1.887932984,2.00837088,1.732411224,1.102799057,0.2572251129,0.0021961524,0,0,0,0,0,,15.64747943
PMGD PFV LAS TORTOLAS,LAS TORTOLAS,PFV LAS TORTOLAS SPA,PMGD PFV Las Tortolas,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0313669926,0.183519598,0.3130580826,0.447121109,1.147570587,1.9710177,1.972474579,1.988674317,1.965249237,1.572990601,0.4275715123,0.0064689373,0,0,0,0,0,,12.02708325
PMGD PFV LAS TORTOLAS DEL VERANO,PMGD PFV Las Tórtolas del Verano,CALBUCO DE VERANO SPA,PMGD PFV Tortolas del Verano,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0992252078,0.9949697265,1.831581909,1.950055389,1.857550537,1.820115204,1.855358063,1.943813599,1.832832306,1.034881477,0.1625593234,0.0030352128,0,0,0,0,0,,15.38597795
PMGD PFV LAS TURCAS,PMGD LAS TURCAS,PV LAS TURCAS SPA,PMGD PFV Las Turcas,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0357499273,0.1940124283,0.3572636071,1.172296021,1.360213348,1.359855469,1.359034546,1.359868347,1.359258972,1.336979919,0.495814478,0.0036616576,0,0,0,0,0,,10.39400872
PMGD PFV LIMA [En_Revision],PMGD PFV Lima,PARQUE FOTOVOLTAICO CHEPICA SPA [En_Revision],PMGD PFV Lima,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1390929546,0.8933125763,0.9374364166,0.9462463074,0.9395590362,0.9435737,0.9430574645,0.9452744751,0.9489231567,0.7806977386,0.1889633216,0.0040752854,0,0,0,0,0,,8.610212433
PMGD PFV LINARES SOLAR,Linares Solar,CARBON FREE CHILE SPA,PMGD PFV Linares,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2536525007,2.848400238,6.04891565,6.54263562,6.45071106,6.330084229,6.524325439,6.520021484,5.512525147,2.992524292,0.6598870238,0.0143797305,0,0,0,0,0,,50.69806241
PMGD PFV LINGUE,Lingue Solar,LINGUE SPA,PMGD PFV Lingue,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0629973007,1.093530495,1.846827881,1.833377777,1.725814545,1.683801392,1.698989929,1.798546021,1.717083954,1.744432007,0.3297699624,0.0045023093,0,0,0,0,0,,15.53967357
PMGD PFV LIPANGUE,PMGD PFV LIPANGUE,ESPINOS S.A.,PMGD PFV Lipangue,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0888053949,0.8090013199,1.508904877,2.004983673,2.274171021,2.377443848,2.373281799,2.072422424,1.481539185,0.910896576,0.1902534718,0.0028724627,0,0,0,0,0,,16.09457605
PMGD PFV LIRIO DEL CAMPO,Lirio del campo,LIRIO DE CAMPO SOLAR SPA,PMGD PFV Lirio del Campo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1050502649,1.197659851,1.937966553,1.989100372,1.967632874,1.927539337,1.936823334,2.01058606,1.913933197,1.512277771,0.3648747806,0.0041358139,0,0,0,0,0,,16.86758021
PMGD PFV LITORAL SUNLIGHT,PMGD PFV Litoral Sunlight,LITORAL SOLAR SPA,PMGD PFV Litoral Sunlight,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0661022965,0.5813967895,0.8077147675,1.138909378,2.29750827,3.350184631,4.998356934,2.422771027,3.155620544,1.46870636,0.5863863907,0.0261478265,0,0,0,0,0,,20.89980521
